Table 1.6  Changes to census subdivisions in alphabetical order by province and territory (with 8C and 9C) - Ontario,,,,,,,,"From January 2, 2006 to January 1, 2011"
Tableau 1.6  Changements apportés aux subdivisions de recensement en ordre alphabétique par province et territoire (inclus 8C et 9C) - Ontario,,,,,,,,Du 2 janvier 2006 au 1er janvier 2011
Census subdivision,,Type,Change,,SGC code,Population 2006,Remarks,File no.
Subdivision de recensement,,Genre,Changement,,Code CGT,,Remarques,No de dossier
,,,Code,Date,,,,
Peterborough,,CY,5,01/01/2008,35 15 014,75406,Annexation of part of - Partie annexée de,350074
,,,,,,,,
,Otonabee-South Monaghan,TP,6,01/01/2008,35 15 005,122,,
,Smith-Ennismore-Lakefield,TP,6,01/01/2008,35 15 015,386,,
,Peterborough,CY,5,01/01/2008,35 15 014,74898,,
,,,,,,,,
Pikangikum 14,,IRI,8C,02/08/2007,35 60 077,2100,Part taken from - Partie prise de,350033
,,,,,,,,
,"Kenora, Unorganized",NO,9C,02/08/2007,35 60 090,0,,
,Pikangikum 14,IRI,8C,02/08/2007,35 60 077,2100,,
,,,,,,,,
Pikangikum 14,,IRI,9C,02/08/2007,35 60 077,2100,Part lost to - Partie donnée à,350034
,,,,,,,,
,"Kenora, Unorganized",NO,8C,02/08/2007,35 60 090,0,,
,Pikangikum 14,IRI,9C,02/08/2007,35 60 077,2100,,
,,,,,,,,
Prince Edward,,CY,2C,02/01/2006,35 13 020,25496,Name correction - Correction du nom - Prince Edward County,350063
,,,,,,,,
Prince Edward County,,CY,2C,02/01/2006,35 13 020,25496,Previously - Auparavant - Prince Edward,350063
,,,,,,,,
Richmond Hill,,T,8C,02/01/2001,35 19 038,162704,Part taken from - Partie prise de,350004
,,,,,,,,
,Vaughan,CY,9C,02/01/2001,35 19 028,0,,
,Richmond Hill,T,8C,02/01/2001,35 19 038,162704,,
,,,,,,,,
Sabaskong Bay 35D,,IRI,9C,02/08/2007,35 60 063,390,Part lost to - Partie donnée à,350030
,,,,,,,,
,"Kenora, Unorganized",NO,8C,02/08/2007,35 60 090,0,,
